Country,PIN,City,State,State_ID,District,District_ID,Community,Lat,Lng,Loc_accuracy,District_1
IN,621710,Marudur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.2639,79.2727,4,Ariyalur
IN,621710,Therkupatti,Tamil Nadu,25,Ariyalur,616,Sendurai,11.2117,79.3399,3,Ariyalur
IN,621710,Sirukalathur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.2117,79.3399,3,Ariyalur
IN,621710,P.Kudikadu,Tamil Nadu,25,Ariyalur,616,Sendurai,11.2117,79.3399,3,Ariyalur
IN,621710,Kilamaligai,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.2117,79.3399,3,Ariyalur
IN,621713,Govindapuram,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1836,79.0794,4,Ariyalur
IN,621713,Manakkal (Ariyalur),Tamil Nadu,25,Ariyalur,616,Ariyalur,11.2015,79.0834,4,Ariyalur
IN,621713,Rajajinagar (Ariyalur),Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1625,79.0518,3,Ariyalur
IN,621713,Allinagaram,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1605,79.2442,4,Ariyalur
IN,621713,Peraiyur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1605,79.2442,4,Ariyalur
IN,621713,Annanagar,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1625,79.0518,3,Ariyalur
IN,621713,Pilimisai,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1625,79.0518,3,Ariyalur
IN,621713,Ameenabad,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1625,79.0518,3,Ariyalur
IN,621713,Kilamathur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1625,79.0518,3,Ariyalur
IN,621713,Iluppaikudi,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.1625,79.0518,3,Ariyalur
IN,621714,Vanjinapuram,Tamil Nadu,25,Ariyalur,616,Sendurai,11.284,79.1639,4,Ariyalur
IN,621714,Kulumur,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.3112,79.1504,4,Ariyalur
IN,621714,Sendurai (Ariyalur),Tamil Nadu,25,Ariyalur,616,Ariyalur,11.2545,79.1768,4,Ariyalur
IN,621714,Nakkambadi,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.2638,79.1567,4,Ariyalur
IN,621714,Nallampalayam,Tamil Nadu,25,Ariyalur,616,Sendurai,11.2677,79.1703,3,Ariyalur
IN,621714,Unjini,Tamil Nadu,25,Ariyalur,616,Ariyalur,11.2253,79.2038,4,Ariyalur
IN,621714,Adhikudikadu,Tamil Nadu,25,Ariyalur,616,Sendurai,11.2677,79.1703,3,Ariyalur
IN,621714,Neivanam,Tamil Nadu,25,Ariyalur,616,Sendurai,11.2677,79.1703,3,Ariyalur
IN,621714,Elangaicheri,Tamil Nadu,25,Ariyalur,616,Sendurai,11.2677,79.1703,3,Ariyalur
IN,621715,Kuruvadi,Tamil Nadu,25,Ariyalur,616,Lalgudi,10.976,79.2262,4,Ariyalur
IN,621715,Sullangudi,Tamil Nadu,25,Ariyalur,616,Lalgudi,10.9543,79.1426,4,Ariyalur
IN,621715,Kamarasavalli,Tamil Nadu,25,Ariyalur,616,Lalgudi,10.983,79.2008,4,Ariyalur
IN,621715,Kilakavattankurichi,Tamil Nadu,25,Ariyalur,616,Lalgudi,10.9686,79.1677,3,Ariyalur
IN,621715,Tirumanur,Tamil Nadu,25,Ariyalur,616,Lalgudi,10.9348,79.1037,4,Ariyalur
IN,621715,Alagiamanavalam,Tamil Nadu,25,Ariyalur,616,Lalgudi,10.9686,79.1677,3,Ariyalur
IN,621715,Tiruppeyar,Tamil Nadu,25,Ariyalur,616,Ariyalur,10.9686,79.1677,3,Ariyalur
IN,621715,Elakurichi,Tamil Nadu,25,Ariyalur,616,Lalgudi,10.9686,79.1677,3,Ariyalur
IN,621715,Kilakolathur,Tamil Nadu,25,Ariyalur,616,Lalgudi,10.9686,79.1677,3,Ariyalur
